cve,epss,ranking_epss
CVE-2021-32822,0.00299,0.52834
CVE-2016-10526,0.00316,0.54173
CVE-2023-41037,0.00076,0.23486
CVE-2021-23382,0.00071,0.22411
CVE-2019-10790,0.00449,0.62806
CVE-2025-21610,0.00087,0.2615
CVE-2021-23383,0.05851,0.90196
CVE-2022-0764,0.00295,0.52449
CVE-2023-34092,0.00448,0.62759
CVE-2021-3766,0.00359,0.57467
CVE-2021-3664,0.00314,0.54042
CVE-2024-21508,0.55588,0.98014
CVE-2024-35220,0.00258,0.49142
CVE-2025-27611,0.0006,0.19205
CVE-2021-3647,0.00175,0.39403
CVE-2022-37614,0.00149,0.36127
CVE-2025-57665,0.00033,0.08464
CVE-2022-35949,0.00424,0.6144
CVE-2019-10742,0.12757,0.93779
CVE-2019-16769,0.00406,0.60339
CVE-2023-26108,0.00087,0.26173
CVE-2025-25200,0.00237,0.46808
CVE-2022-25904,0.00089,0.26499
CVE-2017-16119,0.00328,0.55141
CVE-2022-21195,0.00317,0.54281
CVE-2023-26158,0.00086,0.25928
CVE-2016-20018,0.00286,0.51803
CVE-2022-25900,0.01887,0.8254
CVE-2020-11887,0.00328,0.55211
CVE-2023-25653,0.00268,0.50105
CVE-2024-34351,0.9232,0.99714
CVE-2021-23362,0.00554,0.67162
CVE-2022-21802,0.00314,0.54024
CVE-2020-15228,0.00322,0.54701
CVE-2020-7679,0.00774,0.72772
CVE-2025-25975,0.00023,0.04714
CVE-2022-29894,0.00476,0.64074
CVE-2020-7610,0.00699,0.71163
CVE-2019-17592,0.00577,0.6789
CVE-2021-43307,0.02163,0.83696
CVE-2020-4059,0.02075,0.83349
CVE-2025-9308,0.00016,0.025
CVE-2023-3348,0.00208,0.43369
CVE-2024-29180,0.00218,0.44523
CVE-2024-28863,0.00205,0.42892
CVE-2022-46155,0.00085,0.25809
CVE-2024-43414,0.00053,0.16386
CVE-2024-4367,0.32125,0.96692
CVE-2024-21511,0.00097,0.27899
CVE-2024-47764,0.00069,0.21731
CVE-2023-36665,0.01719,0.81718
CVE-2023-30533,0.03903,0.87826
CVE-2023-5554,0.00111,0.30293
CVE-2023-26121,0.00079,0.24454
CVE-2024-31207,0.00139,0.34791
CVE-2017-1001002,0.01044,0.7675
CVE-2024-34344,0.00972,0.75863
CVE-2022-39384,0.00139,0.3477
CVE-2021-4231,0.01272,0.78831
CVE-2022-31051,0.00717,0.71631
CVE-2023-22491,0.00136,0.34197
CVE-2017-16137,0.00097,0.27831
CVE-2024-23641,0.00263,0.49654
CVE-2022-31367,0.00176,0.39581
CVE-2022-37601,0.15839,0.94508
CVE-2023-37944,0.00099,0.28237
CVE-2025-5897,0.00075,0.23458
CVE-2019-11004,0.00244,0.47688
CVE-2024-49364,0.00061,0.19491
CVE-2023-30363,0.00351,0.569
CVE-2022-0155,0.00903,0.74943
CVE-2015-9236,0.00248,0.48076
CVE-2025-57814,0.00059,0.18585
CVE-2024-0647,0.00255,0.48789
CVE-2021-4435,0.00039,0.11107
CVE-2023-46998,0.33349,0.96793
CVE-2019-15608,0.00399,0.59944
CVE-2024-21484,0.00248,0.48006
CVE-2021-41182,0.26482,0.96163
CVE-2020-26272,0.00965,0.75775
CVE-2022-21670,0.01157,0.7786
CVE-2025-57753,0.00117,0.31399
CVE-2022-25646,0.00394,0.59597
CVE-2021-23326,0.01502,0.80532
CVE-2022-23395,0.00152,0.3663
CVE-2024-29881,0.02514,0.84858
CVE-2024-30253,0.00142,0.35182
CVE-2025-25304,0.00222,0.44878
CVE-2018-20676,0.03704,0.87488
CVE-2022-36077,0.00092,0.26979
CVE-2017-20165,0.0117,0.77957
CVE-2017-0888,0.00537,0.6661
CVE-2022-38778,0.00752,0.7233
CVE-2021-23424,0.00204,0.42811
CVE-2022-43441,0.06155,0.90463
CVE-2024-48913,0.00051,0.15842
CVE-2020-26300,0.01121,0.7751
CVE-2016-10531,0.00289,0.5206
CVE-2020-26296,0.00407,0.60374
CVE-2020-7676,0.00428,0.61712
CVE-2021-3803,0.00115,0.30995
CVE-2021-3820,0.0028,0.51111
CVE-2024-47831,0.00115,0.30981
CVE-2022-37262,0.00348,0.5672
CVE-2025-59414,0.0003,0.07374
CVE-2018-25110,0.00217,0.44417
CVE-2021-39227,0.00379,0.58715
CVE-2021-43571,0.00222,0.44817
CVE-2020-28471,0.00659,0.70229
CVE-2015-8855,0.01023,0.76512
CVE-2023-46308,0.00136,0.34325
CVE-2020-7710,0.00513,0.65596
CVE-2023-26115,0.00043,0.12935
CVE-2023-39663,0.00211,0.43731
CVE-2022-35948,0.00228,0.45557
CVE-2024-37168,0.00283,0.51437
CVE-2021-37699,0.0043,0.618
CVE-2022-37599,0.04997,0.89273
CVE-2021-23414,0.0007,0.21986
CVE-2022-25852,0.00411,0.60692
CVE-2019-14862,0.00233,0.46128
CVE-2025-48997,0.00063,0.20092
CVE-2024-21522,0.00291,0.52186
CVE-2022-30618,0.00312,0.53901
